Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
1114,563,,129,Mar del Plata,-57.6003789,-37.9814854,"Gascón & Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
1115,563,,22,Mar del Plata,-57.5984115,-37.9790964,"Avenida Colon y Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
1116,563,,413,Mar del Plata,-57.6005163,-37.978019,"Avenida Colon y Termas de Río Hondo, Mar del Plata, Provincia de Buenos Aires, Argentina"
1117,563,,330,Mar del Plata,-57.5919961,-37.964031,"Ituzaingó & Coronel Suárez, Mar del Plata, Provincia de Buenos Aires, Argentina"
1118,563,,131,Mar del Plata,-57.5846765,-37.9621349,"Avenida Doctor Arturo Alió 100, Mar del Plata, Provincia de Buenos Aires, Argentina"
1119,563,,142,Mar del Plata,-57.5835018,-37.9605168,"Avenida Della Paolera & Falkner, Mar del Plata, Provincia de Buenos Aires, Argentina"
1120,563,,130,Mar del Plata,-57.5801545,-37.9568226,"Monseñor Zabala 53, Mar del Plata, Provincia de Buenos Aires, Argentina"
1121,563,,132,Mar del Plata,-57.5776386,-37.9534019,"Avenida Constitución & Avenida Della Paolera, Mar del Plata, Provincia de Buenos Aires, Argentina"
1122,563,,345,Mar del Plata,-57.5749993,-37.9501768,"Avenida Della Paolera & Mariani, Mar del Plata, Provincia de Buenos Aires, Argentina"
1123,563,,255,Mar del Plata,-57.5699147,-37.9438511,"Estrada y De La Paolera, Mar del Plata, Provincia de Buenos Aires, Argentina"
1124,563,,370,Mar del Plata,-57.5579859,-37.9500198,"Avenida José Manuel Estrada y Joaquin V.Gonzalez, Mar del Plata, Provincia de Buenos Aires, Argentina"
1125,563,,247,Mar del Plata,-57.5579333,-37.9435632,"carballo y Arroyo La Tapera, Mar del Plata, Provincia de Buenos Aires, Argentina"
1126,563,,593,Mar del Plata,-57.5496941,-37.9368941,"Mahatma Ghandi & Avenida Fray Luis Beltrán, Mar del Plata, Provincia de Buenos Aires, Argentina"
1127,563,,234,Mar del Plata,-57.544313,-37.9324819,"San Francisco de Asis & Mahatma Ghandi, Mar del Plata, Provincia de Buenos Aires, Argentina"
1128,563,,589,Mar del Plata,-57.5315803,-37.9323532,"Ruta Provincial 11 & Calle Scaglia, Mar del Plata, Provincia de Buenos Aires, Argentina"
